angDist,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,numax,e_numax,dnu,e_dnu,Teff,e_Teff,logg,e_logg,M,e_M,Prot,e_Prot,Crowding,Tcrit,Vsini,e_Vsini,_RA,_DE
0.003996,289.86008,44.00281,8160074, ,5004,2.968,0.02,7.867,2.096,0.00606,884.196,0.374,DSEP,,1,Simbad,289.86008,44.00281,289.86008,44.00281111,8160074,113.18,5.06,8.9,0.2,5232,172,2.99,0.02,2.33,0.23,141.82,7.85,0.99,3.34,0,0,289.86008,44.002811
0.003996,294.875,50.65344,12117099, ,4981,2.376,-0.76,14.607,1.85,8.36E-04,1119.298,0.394,DSEP,,1,Simbad,294.875,50.65344,294.875,50.65343889,12117099,29.82,1.88,3.97,0.13,5158,229,2.4,0.03,1.05,0.15,40.14,3.06,1,7.48,6.65,1.39,294.875,50.653439
0.003996,281.92462,44.59579,8475164, ,4774,2.412,-0.28,13.985,1.845,9.50E-04,3839.756,0.285,DSEP,,1,Simbad,281.92462,44.59579,281.92462,44.59579111,8475164,32.42,1.85,4.04,0.58,4993,256,2.43,0.03,1.2,0.37,125.19,6.07,0.99,7.35,0,0,281.92462,44.595791
0.003996,295.28769,49.59884,11566213, ,5006,2.38,0.07,20.198,3.564,6.09E-04,7983.223,0.429,DSEP,,1,Simbad,295.28769,49.59884,295.28769,49.59883889,11566213,28.42,1.59,3.71,0.12,5006,252,2.38,0.03,1.14,0.15,48.07,4.26,1,8.01,0,0,295.28769,49.598839
0.003996,289.71359,43.47498,7747060, ,4927,2.61,0.07,13.577,2.738,0.00154,2798.838,0.406,DSEP,,1,Simbad,289.71359,43.47498,289.71359,43.47497889,7747060,48.66,2.28,4.76,0.15,5155,323,2.62,0.03,2.21,0.28,73.87,7.79,0.99,6.24,0,0,289.71359,43.474979
0.003996,286.13934,41.05074,5774861, ,4694,2.358,-0.18,15.045,1.881,7.78E-04,3546.335,0.368,DSEP,,1,Simbad,286.13934,41.05074,286.13934,41.05073889,5774861,29.59,1.58,3.63,0.12,4787,144,2.38,0.03,1.32,0.16,55.21,5.03,0.99,8.18,8.81,2.14,286.13934,41.050739
0.006984,290.51929,37.52545,2156178, ,4856,2.39,-0.56,13.233,1.569,9.54E-04,762.091,0.419,DSEP,,1,Simbad,290.51929,37.52545,290.51929,37.52545194,2156178,29.08,1.87,3.93,1.91,5099,225,2.39,0.03,1,0.98,40.98,3.18,1,7.56,0,0,290.51929,37.525452
0,285.43188,38.66748,3526625, ,4843,2.443,0.07,17.434,3.076,8.18E-04,2183.565,0.38,DSEP,,1,Simbad,285.43188,38.66748,285.43188,38.66748,3526625,34.35,2.51,4.18,0.15,4883,184,2.45,0.04,1.21,0.18,125.11,5.95,1,7.11,0,0,285.43188,38.66748
0,293.1796,45.22945,8956534, ,5269,2.917,-0.5,8.385,2.118,0.00506,3671.339,0.456,DSEP,,1,Simbad,293.1796,45.22945,293.1796,45.22945,8956534,97.7,6.28,7.88,0.16,5269,220,2.92,0.03,2.47,0.32,87.27,4.06,0.99,3.77,0,0,293.1796,45.22945
0.006984,288.30463,41.04772,5780142, ,4675,2.408,-0.16,13.184,1.622,9.97E-04,2213.74,0.409,DSEP,,1,Simbad,288.30463,41.04772,288.30463,41.04772194,5780142,29.62,3,3.75,0.1,4854,162,2.39,0.05,1.18,0.22,93.5,7.75,0.99,7.92,0,0,288.30463,41.047722
