angDist,_RAJ2000,_DEJ2000,KIC,numax,e_numax,Dnu,e_Dnu,DPi1,e_DPi1,q,e_q,eps,e_eps,dnurot,e_dnurot,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE
0,291.60037,37.5732,2160910,117.93,1.43,10.44,0.05,77.33,0.04,0.14,0.02,0.329,0.067,470,16,Simbad,291.60037,37.5732,291.60037,37.5732,2160910, ,4986,2.994,-0.36,5.629,1.141,0.00901,1720.268,0.571,DSEP,,1,Simbad,291.60037,37.5732
0.0072,291.70023,37.562988,2161409,98.74,1.16,8.61,0.05,72.41,0.07,0.12,0.02,0.15,0.148,340,20,Simbad,291.70023,37.562988,291.70023,37.56299,2161409, ,4836,2.902,0.12,7.986,1.856,0.00514,2156.487,0.582,DSEP,,1,Simbad,291.70023,37.56299
0.0072,291.79034,37.521858,2161831,145.67,1.78,12.46,0.06,81.18,0.04,0.16,0.02,0.369,0.043,340,15,Simbad,291.79034,37.521858,291.79034,37.52186,2161831, ,4887,3.073,-0.22,4.802,0.995,0.0127,1263.641,0.551,DSEP,,1,Simbad,291.79034,37.52186
0.0036,292.08023,37.567791,2163121,35.6,0.51,4.02,0.04,330.15,0.47,0.28,0.04,-0.024,0.13,20,7,Simbad,292.08023,37.567791,292.08023,37.56779,2163121, ,4858,2.466,-0.34,13.604,1.971,0.0011,4728.976,0.6,DSEP,,1,Simbad,292.08023,37.56779
0,292.17349,37.59341,2163597,32.6,0.51,4.08,0.04,325.34,0.32,0.27,0.04,0.148,0.103,25,7,Simbad,292.17349,37.59341,292.17349,37.59341,2163597, ,4867,2.424,0.07,18.212,3.208,7.48E-04,4272.305,0.603,DSEP,,1,Simbad,292.17349,37.59341
0.0072,292.17468,37.519058,2163605,34.8,0.54,4.3,0.04,301.97,0.18,0.3,0.04,0.052,0.062,42,10,Simbad,292.17468,37.519058,292.17468,37.51906,2163605, ,5101,2.685,-1.16,6.658,0.782,0.00373,2632.156,0.605,DSEP,,1,Simbad,292.17468,37.51906
0.0072,292.32742,37.588772,2164327,44.7,0.59,4.68,0.04,236.12,0.12,0.22,0.03,0.088,0.052,30,7,Simbad,292.32742,37.588772,292.32742,37.58877,2164327, ,4857,2.557,0.07,14.947,2.94,0.00124,1457.823,0.586,DSEP,,1,Simbad,292.32742,37.58877
0.0072,292.33643,37.570808,2164379,121.51,1.41,10.32,0.05,77.83,0.06,0.14,0.02,0.32,0.088,290,17,Simbad,292.33643,37.570808,292.33643,37.57081,2164379, ,4711,2.991,0.48,7.115,1.81,0.00708,1913.393,0.607,DSEP,,1,Simbad,292.33643,37.57081
0.0072,292.60468,37.512402,2165615,37.29,0.53,4.16,0.04,241.41,0.14,0.25,0.03,-0.049,0.064,60,14,Simbad,292.60468,37.512402,292.60468,37.5124,2165615, ,4991,2.481,-0.64,13.05,1.877,0.00119,3440.785,0.627,DSEP,,1,Simbad,292.60468,37.5124
0.0072,292.85324,37.553452,2166766,45,0.58,4.58,0.04,328.11,0.33,0.25,0.03,-0.264,0.073,35,8,Simbad,292.85324,37.553452,292.85324,37.55345,2166766, ,4935,2.57,-0.38,12.021,1.956,0.00159,2221.234,0.636,DSEP,,1,Simbad,292.85324,37.55345
